id_tarjeta,anio,id_seleccion,pais,id_jugador,jugador,amarillas,rojas
146,2022,70,Senegal,1052,Nampalys Mendy,1,4
147,2022,37,Gales,2557,Chris Mepham,1,3
148,2022,6,Argentina,5318,Lionel Messi,1,7
149,2022,13,Bélgica,6656,Thomas Meunier,1,3
150,2022,64,Polonia,3127,Arkadiusz Milik,1,3
151,2022,71,Serbia,3657,Sergej Milinkovic-savic,1,3
152,2022,11,Brasil,1724,Eder Militao,1,4
153,2022,15,Canadá,2484,Kamal Miller,1,3
154,2022,71,Serbia,3666,Aleksandar Mitrovic,1,3
155,2022,24,Croacia,1124,Luka Modric,1,7
156,2022,16,Catar,6349,Ismaeel Mohammad,1,2
157,2022,7,Australia,7347,Aaron Mooy,1,4
158,2022,56,México,7793,Hector Moreno,1,3
159,2022,65,Portugal,3277,Ruben Neves,1,5
160,2022,14,Camerún,954,Nicolas Nkoulou,1,2
161,2022,80,Uruguay,5941,Darwin Nunez,1,3
162,2022,80,Uruguay,5943,Mathias Olivera,1,3
163,2022,15,Canadá,2488,Jonathan Osorio,1,3
164,2022,55,Marruecos,8391,Azzedine Ounahi,1,7
165,2022,65,Portugal,3293,Danilo Pereira,1,1
166,2022,24,Croacia,1130,Bruno Petkovic,1,6
167,2022,6,Argentina,5364,German Pezzella,1,3
168,2022,48,Irán,4164,Morteza Pouraliganji,1,3
169,2022,36,Francia,4015,Adrien Rabiot,1,6
170,2022,71,Serbia,3713,Predrag Rajkovic,1,0
171,2022,37,Gales,2560,Aaron Ramsey,1,3
172,2022,35,Estados Unidos,2869,Tim Ream,1,4
173,2022,48,Irán,4167,Ramin Rezaeian,1,2
174,2022,74,Suiza,8176,Fabian Rieder,1,2
175,2022,37,Gales,2562,Joe Rodon,1,3
176,2022,55,Marruecos,8397,Abdelhamid Sabiri,1,5
177,2022,55,Marruecos,8400,Romain Saiss,1,6
178,2022,56,México,7866,Jorge Sanchez,1,2
179,2022,78,Túnez,7248,Ferjani Sassi,1,2
180,2022,26,Dinamarca,4283,Robert Skov,1,1
181,2022,80,Uruguay,6010,Luis Suarez,1,3
182,2022,38,Ghana,1508,Kamaldeen Sulemana,1,2
183,2022,4,Arabia Saudita,4841,Hassan Tambakti,1,2
184,2022,53,Japón,174,Shogo Taniguchi,1,2
185,2022,36,Francia,4048,Aurelien Tchouameni,1,7
186,2022,36,Francia,4052,Marcus Thuram,1,5
187,2022,60,Paises Bajos,6489,Jurrien Timber,1,4
188,2022,14,Camerún,981,Nouhou Tolo,1,3
189,2022,74,Suiza,8210,Ruben Vargas,1,4
190,2022,65,Portugal,3327,Vitinha,1,3
191,2022,15,Canadá,2499,Steven Vitoria,1,3
192,2022,60,Paises Bajos,6533,Wout Weghorst,1,4
193,2022,74,Suiza,8224,Silvan Widmer,1,3
194,2022,38,Ghana,1515,Inaki Williams,1,3
195,2022,74,Suiza,8228,Granit Xhaka,1,4
196,2022,53,Japón,184,Miki Yamane,1,1
197,2022,53,Japón,187,Maya Yoshida,1,4
