id_tarjeta;anio;id_seleccion;pais;jugador;amarillas;rojas
181;2022;80;Uruguay;Luis Suarez;1;3
182;2022;38;Ghana;Kamaldeen Sulemana;1;2
183;2022;4;Arabia Saudita;Hassan Tambakti;1;2
184;2022;53;Japón;Shogo Taniguchi;1;2
185;2022;36;Francia;Aurélien Tchouaméni;1;7
186;2022;36;Francia;Marcus Thuram;1;5
187;2022;60;Paises Bajos;Jurrïen Timber;1;4
188;2022;14;Camerún;Nouhou Tolo;1;3
189;2022;74;Suiza;Rubén Vargas;1;4
190;2022;65;Portugal;Vitinha;1;3
191;2022;15;Canadá;Steven Vitoria;1;3
192;2022;60;Paises Bajos;Wout Weghorst;1;4
193;2022;74;Suiza;Silvan Widmer;1;3
194;2022;38;Ghana;Inaki Williams;1;3
195;2022;74;Suiza;Granit Xhaka;1;4
196;2022;53;Japón;Miki Yamane;1;1
197;2022;53;Japón;Maya Yoshida;1;4
