id_posicion_grupo,anio,id_grupo,id_seleccion,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
227,1990,C,11,Brasil,6,3,3,0,0,4,1,3,SI
228,1990,C,22,Costa Rica,4,3,2,0,1,3,2,1,SI
229,1990,C,31,Escocia,2,3,1,0,2,2,3,-1,NO
230,1990,C,73,Suecia,0,3,0,0,3,3,6,-3,NO
231,1990,D,87,Alemania Occidental,5,3,2,1,0,10,3,7,SI
232,1990,D,85,Yugoslavia,4,3,2,0,1,6,5,1,SI
233,1990,D,19,Colombia,3,3,1,1,1,3,2,1,SI
234,1990,D,30,Emiratos Arabes,0,3,0,0,3,2,11,-9,NO
235,1990,E,34,España,5,3,2,1,0,5,2,3,SI
236,1990,E,13,Bélgica,4,3,2,0,1,6,3,3,SI
237,1990,E,80,Uruguay,3,3,1,1,1,2,3,-1,SI
238,1990,E,21,Corea del Sur,0,3,0,0,3,1,6,-5,NO
239,1990,F,44,Inglaterra,4,3,1,2,0,2,1,1,SI
240,1990,F,46,Irlanda,3,3,0,3,0,2,2,0,SI
241,1990,F,60,Paises Bajos,3,3,0,3,0,2,2,0,SI
242,1990,F,28,Egipto,2,3,0,2,1,1,2,-1,NO
243,1994,A,68,Rumania,6,3,2,0,1,5,5,0,SI
244,1994,A,74,Suiza,4,3,1,1,1,5,4,1,SI
245,1994,A,35,Estados Unidos,4,3,1,1,1,3,3,0,SI
246,1994,A,19,Colombia,3,3,1,0,2,4,5,-1,NO
247,1994,B,11,Brasil,7,3,2,1,0,6,1,5,SI
248,1994,B,73,Suecia,5,3,1,2,0,6,4,2,SI
249,1994,B,69,Rusia,3,3,1,0,2,7,6,1,NO
250,1994,B,14,Camerún,1,3,0,1,2,3,11,-8,NO
251,1994,C,1,Alemania,7,3,2,1,0,5,3,2,SI
252,1994,C,34,España,5,3,1,2,0,6,4,2,SI
253,1994,C,21,Corea del Sur,2,3,0,2,1,4,5,-1,NO
254,1994,C,9,Bolivia,1,3,0,1,2,1,4,-3,NO
255,1994,D,57,Nigeria,6,3,2,0,1,6,2,4,SI
256,1994,D,12,Bulgaria,6,3,2,0,1,6,3,3,SI
257,1994,D,6,Argentina,6,3,2,0,1,6,3,3,SI
258,1994,D,39,Grecia,0,3,0,0,3,0,10,-10,NO
259,1994,E,56,México,4,3,1,1,1,3,3,0,SI
260,1994,E,46,Irlanda,4,3,1,1,1,2,2,0,SI
261,1994,E,51,Italia,4,3,1,1,1,2,2,0,SI
262,1994,E,58,Noruega,4,3,1,1,1,1,1,0,NO
263,1994,F,60,Paises Bajos,6,3,2,0,1,4,3,1,SI
264,1994,F,4,Arabia Saudita,6,3,2,0,1,4,3,1,SI
265,1994,F,13,Bélgica,6,3,2,0,1,2,1,1,SI
266,1994,F,55,Marruecos,0,3,0,0,3,2,5,-3,NO
267,1998,A,11,Brasil,6,3,2,0,1,6,3,3,SI
268,1998,A,58,Noruega,5,3,1,2,0,5,4,1,SI
269,1998,A,55,Marruecos,4,3,1,1,1,5,5,0,NO
270,1998,A,31,Escocia,1,3,0,1,2,2,6,-4,NO
