id_posicion_grupo,anio,id_grupo,id_seleccion,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
403,2014,C,19,Colombia,9,3,3,0,0,9,2,7,SI
404,2014,C,39,Grecia,4,3,1,1,1,2,4,-2,SI
405,2014,C,23,Costa de Marfil,3,3,1,0,2,4,5,-1,NO
406,2014,C,53,Japón,1,3,0,1,2,2,6,-4,NO
407,2014,D,22,Costa Rica,7,3,2,1,0,4,1,3,SI
408,2014,D,80,Uruguay,6,3,2,0,1,4,4,0,SI
409,2014,D,51,Italia,3,3,1,0,2,2,3,-1,NO
410,2014,D,44,Inglaterra,1,3,0,1,2,2,4,-2,NO
411,2014,E,36,Francia,7,3,2,1,0,8,2,6,SI
412,2014,E,74,Suiza,6,3,2,0,1,7,6,1,SI
413,2014,E,27,Ecuador,4,3,1,1,1,3,3,0,NO
414,2014,E,41,Honduras,0,3,0,0,3,1,8,-7,NO
415,2014,F,6,Argentina,9,3,3,0,0,6,3,3,SI
416,2014,F,57,Nigeria,4,3,1,1,1,3,3,0,SI
417,2014,F,10,Bosnia-Herzegovina,3,3,1,0,2,4,4,0,NO
418,2014,F,48,Irán,1,3,0,1,2,1,4,-3,NO
419,2014,G,1,Alemania,7,3,2,1,0,7,2,5,SI
420,2014,G,35,Estados Unidos,4,3,1,1,1,4,4,0,SI
421,2014,G,65,Portugal,4,3,1,1,1,4,7,-3,NO
422,2014,G,38,Ghana,1,3,0,1,2,4,6,-2,NO
423,2014,H,13,Bélgica,9,3,3,0,0,4,1,3,SI
424,2014,H,5,Argelia,4,3,1,1,1,6,5,1,SI
425,2014,H,69,Rusia,2,3,0,2,1,2,3,-1,NO
426,2014,H,21,Corea del Sur,1,3,0,1,2,3,6,-3,NO
427,2018,A,80,Uruguay,9,3,3,0,0,5,0,5,SI
428,2018,A,69,Rusia,6,3,2,0,1,8,4,4,SI
429,2018,A,4,Arabia Saudita,3,3,1,0,2,2,7,-5,NO
430,2018,A,28,Egipto,0,3,0,0,3,2,6,-4,NO
431,2018,B,34,España,5,3,1,2,0,6,5,1,SI
432,2018,B,65,Portugal,5,3,1,2,0,5,4,1,SI
433,2018,B,48,Irán,4,3,1,1,1,2,2,0,NO
434,2018,B,55,Marruecos,1,3,0,1,2,2,4,-2,NO
435,2018,C,36,Francia,7,3,2,1,0,3,1,2,SI
436,2018,C,26,Dinamarca,5,3,1,2,0,2,1,1,SI
437,2018,C,63,Perú,3,3,1,0,2,2,2,0,NO
438,2018,C,7,Australia,1,3,0,1,2,2,5,-3,NO
439,2018,D,24,Croacia,9,3,3,0,0,7,1,6,SI
440,2018,D,6,Argentina,4,3,1,1,1,3,5,-2,SI
441,2018,D,57,Nigeria,3,3,1,0,2,3,4,-1,NO
442,2018,D,49,Islandia,1,3,0,1,2,2,5,-3,NO
443,2018,E,11,Brasil,7,3,2,1,0,5,1,4,SI
444,2018,E,74,Suiza,5,3,1,2,0,5,4,1,SI
445,2018,E,71,Serbia,3,3,1,0,2,2,4,-2,NO
446,2018,E,22,Costa Rica,1,3,0,1,2,2,5,-3,NO
447,2018,F,73,Suecia,6,3,2,0,1,5,2,3,SI
448,2018,F,56,México,6,3,2,0,1,3,4,-1,SI
449,2018,F,21,Corea del Sur,3,3,1,0,2,3,3,0,NO
450,2018,F,1,Alemania,3,3,1,0,2,2,4,-2,NO
451,2018,G,13,Bélgica,9,3,3,0,0,9,2,7,SI
452,2018,G,44,Inglaterra,6,3,2,0,1,8,3,5,SI
453,2018,G,78,Túnez,3,3,1,0,2,5,8,-3,NO
454,2018,G,61,Panamá,0,3,0,0,3,2,11,-9,NO
455,2018,H,19,Colombia,6,3,2,0,1,5,2,3,SI
456,2018,H,53,Japón,4,3,1,1,1,4,4,0,SI
457,2018,H,70,Senegal,4,3,1,1,1,4,4,0,NO
458,2018,H,64,Polonia,3,3,1,0,2,2,5,-3,NO
459,2022,A,60,Paises Bajos,7,3,2,1,0,5,1,4,SI
460,2022,A,70,Senegal,6,3,2,0,1,5,4,1,SI
461,2022,A,27,Ecuador,4,3,1,1,1,4,3,1,NO
462,2022,A,16,Catar,0,3,0,0,3,1,7,-6,NO
463,2022,B,44,Inglaterra,7,3,2,1,0,9,2,7,SI
464,2022,B,35,Estados Unidos,5,3,1,2,0,2,1,1,SI
465,2022,B,48,Irán,3,3,1,0,2,4,7,-3,NO
466,2022,B,37,Gales,1,3,0,1,2,1,6,-5,NO
467,2022,C,6,Argentina,6,3,2,0,1,5,2,3,SI
468,2022,C,64,Polonia,4,3,1,1,1,2,2,0,SI
469,2022,C,56,México,4,3,1,1,1,2,3,-1,NO
470,2022,C,4,Arabia Saudita,3,3,1,0,2,3,5,-2,NO
471,2022,D,36,Francia,6,3,2,0,1,6,3,3,SI
472,2022,D,7,Australia,6,3,2,0,1,3,4,-1,SI
473,2022,D,78,Túnez,4,3,1,1,1,1,1,0,NO
474,2022,D,26,Dinamarca,1,3,0,1,2,1,3,-2,NO
475,2022,E,53,Japón,6,3,2,0,1,4,3,1,SI
476,2022,E,34,España,4,3,1,1,1,9,3,6,SI
477,2022,E,1,Alemania,4,3,1,1,1,6,5,1,NO
478,2022,E,22,Costa Rica,3,3,1,0,2,3,11,-8,NO
479,2022,F,55,Marruecos,7,3,2,1,0,4,1,3,SI
480,2022,F,24,Croacia,5,3,1,2,0,4,1,3,SI
481,2022,F,13,Bélgica,4,3,1,1,1,1,2,-1,NO
482,2022,F,15,Canadá,0,3,0,0,3,2,7,-5,NO
483,2022,G,11,Brasil,6,3,2,0,1,3,1,2,SI
484,2022,G,74,Suiza,6,3,2,0,1,4,3,1,SI
485,2022,G,14,Camerún,4,3,1,1,1,4,4,0,NO
486,2022,G,71,Serbia,1,3,0,1,2,5,8,-3,NO
487,2022,H,65,Portugal,6,3,2,0,1,6,4,2,SI
488,2022,H,21,Corea del Sur,4,3,1,1,1,4,4,0,SI
489,2022,H,80,Uruguay,4,3,1,1,1,2,2,0,NO
490,2022,H,38,Ghana,3,3,1,0,2,5,7,-2,NO
